id	aliases	severity	modified	fixed	summary
GHSA-39hc-v87j-747x			2024-12-03	38.0.3	Vulnerable OpenSSL included in cryptography wheels
GHSA-3ww4-gg4f-jr7f	CVE-2023-50782	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N;CVSS_V4:CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N	2026-02-28	42.0.0	Python Cryptography package vulnerable to Bleichenbacher timing oracle attack
GHSA-5cpq-8wj7-hf2v			2026-02-04	41.0.0	Vulnerable OpenSSL included in cryptography wheels
GHSA-6vqw-3v5j-54x4	CVE-2024-26130,PYSEC-2024-225	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	2026-02-04	42.0.4	cryptography NULL pointer dereference with pkcs12.serialize_key_and_certificates when called with a non-matching certificate and private key and an hmac_hash override
GHSA-79v4-65xg-pq4g	CVE-2024-12797		2026-02-04	44.0.1	Vulnerable OpenSSL included in cryptography wheels
GHSA-9v9h-cgj8-h64p	CVE-2024-0727	CVSS_V3:CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:N/A:H	2026-02-04	42.0.2	Null pointer dereference in PKCS12 parsing
GHSA-cf7p-gm2m-833m	CVE-2023-38325,PYSEC-2023-112	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N;CVSS_V4:CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:N/VI:H/VA:N/SC:N/SI:N/SA:N	2026-02-04	41.0.2	cryptography mishandles SSH certificates
GHSA-fcf9-3qw3-gxmj	CVE-2018-10903,PYSEC-2018-52	CVSS_V3:CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N;CVSS_V4:CVSS:4.0/AV:N/AC:L/AT:N/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N	2024-09-13	2.3	PyCA Cryptography vulnerable to GCM tag forgery
GHSA-h4gh-qq45-vh27			2026-02-04	43.0.1	pyca/cryptography has a vulnerable OpenSSL included in cryptography wheels
GHSA-hggm-jpg3-v476	CVE-2020-25659,PYSEC-2021-62	CVSS_V3:CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:N/A:N;CVSS_V4:CVSS:4.0/AV:N/AC:L/AT:P/PR:N/UI:N/VC:H/VI:N/VA:N/SC:N/SI:N/SA:N	2024-11-24	3.2	RSA decryption vulnerable to Bleichenbacher timing vulnerability
GHSA-jfhm-5ghh-2f97	CVE-2023-49083,PYSEC-2023-254	CVSS_V3:CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:N/I:N/A:H	2026-02-04	41.0.6	cryptography vulnerable to NULL-dereference when loading PKCS7 certificates
GHSA-jm77-qphf-c4w8			2026-02-04	41.0.3	pyca/cryptography's wheels include vulnerable OpenSSL
GHSA-m959-cc7f-wv43	CVE-2026-34073	CVSS_V3:CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N;CVSS_V4:CVSS:4.0/AV:N/AC:H/AT:P/PR:N/UI:N/VC:N/VI:L/VA:N/SC:N/SI:N/SA:N/E:U	2026-04-06	46.0.6	cryptography has incomplete DNS name constraint enforcement on peer names
