# Proposed KB Page: `org.apache.logging.log4j:log4j-core`

---

## 1. Overview

| Field | Value |
|---|---|
| **Package** | `org.apache.logging.log4j:log4j-core` |
| **Ecosystem** | Maven (Java) |
| **Project** | Apache Log4j 2 |
| **Repository** | https://github.com/apache/logging-log4j2 |
| **Upstream Security Page** | https://logging.apache.org/log4j/2.x/security.html |
| **VDR (CycloneDX)** | https://logging.apache.org/cyclonedx/vdr.xml |

**Scope note:** Only `log4j-core` is in scope. The sibling artifact `log4j-api` is not directly affected by the vulnerabilities listed below but should be kept version-aligned per upstream guidance. Third-party repackages (e.g., `org.ops4j.pax.logging:pax-logging-log4j2`, `com.guicedee.services:log4j-core`) have their own fix versions and are noted only where the evidence explicitly mentions them.

---

## 2. Known Vulnerabilities (Evidence-Backed)

### 2.1 Critical / High Severity

| CVE | GHSA | Summary | CVSS | Affected Versions | Fixed In | Category |
|---|---|---|---|---|---|---|
| CVE-2021-44228 | GHSA-jfh8-c2jp-5v3q | **Log4Shell** – RCE via JNDI lookup in log messages | 10.0 (CVSS 3.1, AV:N/AC:L/S:C) | 2.0-beta9 – 2.14.1 | 2.15.0 (partial), **2.16.0** (full for JNDI), 2.12.2, 2.3.1 | RCE / Injection |
| CVE-2021-45046 | GHSA-7rjr-3q55-vv33 | Incomplete fix for CVE-2021-44228 (non-default pattern layouts) | 9.0 (CVSS 3.1, AV:N/AC:H/S:C) | 2.0-beta9 – 2.15.0 | 2.16.0, 2.12.2 | RCE / Injection |
| CVE-2017-5645 | GHSA-fxph-q3j8-mv87 | Deserialization of untrusted data via TCP/UDP socket server | 9.8 (CVSS 3.0) | < 2.8.2 | 2.8.2 | Deserialization / RCE |

### 2.2 High / Medium Severity

| CVE | GHSA | Summary | CVSS | Affected Versions | Fixed In | Category |
|---|---|---|---|---|---|---|
| CVE-2021-45105 | GHSA-p6xc-xr62-6r2g | Uncontrolled recursion via self-referential lookups (DoS) | 7.5 (CVSS 3.1, AV:N/S:C/A:H) | 2.0-alpha1 – 2.16.0 (excl. 2.12.3) | 2.17.0, 2.12.3, 2.3.1 | DoS |
| CVE-2021-44832 | GHSA-8489-44mv-ggj8 | RCE via JDBC Appender JNDI URI (requires config modification privilege) | 6.6 (CVSS 3.1, AV:N/AC:H/PR:H) | 2.0-beta7 – 2.17.0 (excl. 2.3.2, 2.12.4) | 2.17.1, 2.12.4, 2.3.2 | RCE (privileged) |

### 2.3 Low Severity (2026 Disclosures)

| CVE | GHSA | Summary | CVSS 4.0 | Affected Versions | Fixed In | Category |
|---|---|---|---|---|---|---|
| CVE-2026-34480 | GHSA-3pxv-7cmr-fjr4 | Silent log event loss in `XmlLayout` – unescaped XML 1.0 forbidden chars | Low (SI:L) | ≤ 2.25.3 | 2.25.4 | Data Integrity / Log Loss |
| CVE-2026-34478 | GHSA-445c-vh5m-36rj | Log injection via CRLF in `R
