modified	id	cve	ghsa	cvss	fixed	summary
2026-04-16	GHSA-rv64-5gf8-9qq8	CVE-2026-34483	GHSA-rv64-5gf8-9qq8	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	9.0.116, 10.1.54, 11.0.21	Apache Tomcat has an Improper Encoding or Escaping of Output vulnerability in the JsonAccessLogValve
2026-04-16	GHSA-9m3c-qcxr-9x87	CVE-2026-25854	GHSA-9m3c-qcxr-9x87	CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N	9.0.116, 10.1.53, 11.0.20	Apache Tomcat has an Open Redirect vulnerability
2026-04-16	GHSA-95jq-rwvf-vjx4	CVE-2026-29145	GHSA-95jq-rwvf-vjx4	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N	9.0.116, 10.1.53, 11.0.20	Apache Tomcat: CLIENT_CERT authentication does not fail as expected
2026-04-16	GHSA-8mc5-53m5-3qj2	CVE-2026-32990	GHSA-8mc5-53m5-3qj2	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N	9.0.116, 10.1.53, 11.0.20	Apache Tomcat has an Improper Input Validation vulnerability
2026-04-16	GHSA-69cc-cv78-qc8g	CVE-2026-29129	GHSA-69cc-cv78-qc8g	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	9.0.116, 10.1.53, 11.0.20	Apache Tomcat: Configured cipher preference order not preserved
2026-04-13	GHSA-x4m4-345f-5h5g	CVE-2026-34487	GHSA-x4m4-345f-5h5g	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N	9.0.117, 10.1.54, 11.0.21	Apache Tomcat vulnerable to Insertion of Sensitive Information into Log File
2026-04-13	GHSA-24j9-x2wg-9qv6	CVE-2026-34500	GHSA-24j9-x2wg-9qv6	CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:L/A:N	9.0.117, 10.1.54, 11.0.21	Apache Tomcat: CLIENT_CERT authentication does not fail as expected
2026-03-24	GHSA-cx6h-86xw-9x34	CVE-2023-28709	GHSA-cx6h-86xw-9x34	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H	9.0.74, 10.1.8, 11.0.0-M5	Apache Tomcat - Fix for CVE-2023-24998 was incomplete
2026-03-20	GHSA-mgp5-rv84-w37q	CVE-2026-24734	GHSA-mgp5-rv84-w37q	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N	9.0.115, 10.1.52, 11.0.18	Apache Tomcat has an Improper Input Validation vulnerability
2026-03-13	GHSA-fpj8-gq4v-p354	CVE-2025-66614	GHSA-fpj8-gq4v-p354	CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:N	9.0.113, 10.1.50, 11.0.15	Apache Tomcat - Client certificate verification bypass
